ACC_ID	Entry_name	length	PXD006482_NSAF	PXD003657_NSAF	PXD000612_NSAF	PXD000474_NSAF	PXD002394_NSAF	PXD004447_NSAF	PXD004415_NSAF	PXD003709_NSAF	PXD001374_NSAF	PXD003215_NSAF	PXD000680_NSAF	PXD003660_NSAF	PXD004940_NSAF	PXD005366_NSAF	PXD001565_NSAF	PXD001550_NSAF	PXD001546_NSAF	PXD000964_NSAF	PXD001333_NSAF	PXD002057_NSAF	PXD002255_NSAF	PXD001060_NSAF	PXD003198_NSAF	PXD006114_NSAF	PXD004452_NSAF	PXD000836_NSAF	PXD000218_NSAF	PXD002990_NSAF	PXD002436_NSAF	PXD000674_NSAF	PXD002646_NSAF	PXD001170_NSAF	PXD003531_NSAF	PXD002286_NSAF	PXD004252_NSAF	PXD000089_NSAF
P31946	1433B_HUMAN	246	0.0012680835861994077	9.286436155397603e-05	0.0009095767645827847		0.0015857124920034193	0.0021054392662855233	0.0014463893169552725		0.0014234213355091856	0.0005478999132018075	0.0007989696168640274		0.0013099834087433944	0.001184864820242339	0.0007533807858774875	0.002725767445319092	0.0028982564286857224		0.001064147142157629	0.0029451740477276557	0.001867592451295241	0.001362965205806622	0.0014235872637383762		0.0007817443242141722	7.489701171726693e-05	0.0028635822615772845	0.001027031374832045	0.004978601556555133	0.007526872475675705		0.0010495348867579823	0.0015144417064857046	0.0017138895541787015	7.750057703010137e-05	0.0016747391058844195
P62258	1433E_HUMAN	255	0.0025078217745896523		0.002180433102757135	0.004512307388168347	0.0004926301221418399	0.003204035496531275	0.001564249895352371		0.0011674033600938194	0.0016150513781308183	0.0013138136747897777		0.0019361278163313002	0.002187257313899812	0.0010342793232363335	0.004730235323371608	0.006045329784476419		0.00166592379901855	0.0027794609299526987	0.0017025025195509557	0.0012879350794399935	0.001332780133735705		0.0012673059750773082	4.816905851620304e-05	0.0028118452711370224	0.0005210153080030314	0.0026448326075085805	0.0018153045382511993	0.003589873914667313	0.0007464360611532511	0.002220053093753346	0.0018935578971898766	0.00026167841891340104	0.0017625061820216777
Q04917	1433F_HUMAN	246	0.0005325951062037513		0.0005610037919635461		5.375296583062439e-05	0.0013937414861326704	0.0005861683021345052		0.000455330744211872	0.0005478999132018075			0.0006717863634581509	0.0007037918857078556	0.0006809403256969598	0.0012045884460900236	0.0022911892037583074		0.000844501112815485	0.00140856150108714	0.0011822374232969874	0.0009629139849896612	0.0012974466201159886		0.0005589810099460534	2.496567057242231e-05	0.0011079336131102587	0.0005135156874160225	0.00018501559838549476	0.0003136196864864877	0.0018606053826019614	0.0006741537958737405	0.0010431880581546781	0.0008282203711533949		0.0016747391058844195
P61981	1433G_HUMAN	247	0.0010482482049805467		0.0008352892396947853		0.0004282827398974445	0.0013880988080511615	0.0009325558907400946		0.0006373335025668307	0.0005153660452114167	0.0007686075951705379		0.0010119632031728402	0.0013109399771373223	0.001284219785580949	0.001984138365422029	0.0014822683606168143		0.0012559656171750495	0.0015303914432128218	0.0014846121770464191	0.0012369910689059229	0.0018724845339573191	0.009375240896056902	0.0006482004613624114	2.486459498306027e-05	0.0021220154844684186	0.0008376980046706999	0.0008543267196703782	0.0012493998846263316	0.0018530725672877833	0.0012207716877802	0.001378545114390362	0.0015353020533056263	0.00015437361902352173	0.0018195914024920156
P31947	1433S_HUMAN	248	3.773571316996624e-05		0.0009440930140791667	0.00031778567829842265	0.0015196050138649498	0.0012060120649565985	0.00012837012146661608		0.001232906241356601		0.0001080717700230301		0.0010745195795353307	0.0008395067562776942	0.0006610776188732668	0.001248490165201555	0.0014374416964852575		0.0011494768148469993	0.0001270183758311717	0.0016655785297360782	0.003486061493927916	0.0016385204571917305		0.0006135562976040598	2.4764334519418898e-05	0.003009565573875435	0.00047424516070873493	0.00048383477964887084	0.0006221809909328707		0.000638320841181038	0.00060256985432771	0.0005983479075207586	3.84377861883164e-05	0.0016612331453530937
P27348	1433T_HUMAN	245	0.000713025285040124		0.0009246192334984132		0.001052461130977572	0.001667406227786684	0.0009707431802431069		0.0010379431327516959	0.0007335149858375219	8.204632336442285e-05		0.0012984670710841117	0.0012545531255360154	0.0009455697618666425	0.0026361009322598003	0.0043454663265837835		0.0010646881422299004	0.0030214820177308925	0.0012386743118270476	0.0015833826060184916	0.0013992417517622768		0.0008543809538820814		0.001882617492669614	0.0008445363557292361	0.000557312292279572	0.001259599067357975	0.0009340998451430254	0.0009692055221197801	0.001191013177592675	0.0010575271083360087	0.00027235917070578475	0.001681574775704356
P63104	1433Z_HUMAN	245	0.0015788417025888461		0.00119013322756109	0.001093701567107061	0.001889032799190514	0.0028881857874162205	0.0022013703614961796		0.001388042998957625	0.00131421434962556	0.0005652080053993574	0.00525380680241953	0.0016525944541070513	0.0018337496665588818	0.0012947032124020182	0.006504966712252861	0.009123513011470024		0.0013346626354381968	0.0030214820177308925	0.0022192914753567934	0.0023423786929742583	0.002237580559930193		0.001402937340682269	0.0005264189966413617	0.0041588731883519655	0.0013957074510472641	0.00219547266655589	0.0044085967357529125	0.002802299535429076	0.0017076478246872318	0.0028645480990317405	0.004763678928913566	0.00027235917070578475	0.00214018607816918
Q96QU6	1A1L1_HUMAN	501	1.2453036415371428e-05	4.5598069745066066e-05	4.817891382011921e-07																						3.749586304078432e-06		8.369466262095e-06									
Q15172	2A5A_HUMAN	486	3.2093473477886244e-05		6.593150525967147e-05			3.002017385418413e-05	6.935901987738735e-05							2.0292171106907226e-05					5.5589427179184616e-05			1.177296874353674e-05			2.8161575442536158e-05			9.411175114201689e-05					4.7107608085044e-06	7.2697570578653795e-06	3.922868713869329e-05	
Q15173	2A5B_HUMAN	497			3.521083696642415e-06						2.030405189263881e-06										1.4995607637040852e-05			9.209920015064558e-06			1.2203238254256525e-05			8.76464713136346e-06					2.5126355437349236e-06			
